업소명,소재지(도로명),업태명
커피지연,"부산광역시 서구 대신공원로 26, 1층 (동대신동3가, 동아대학교의료원 신관 에프동 )",커피숍
투썸플레이스 송도해수욕장점,부산광역시 서구 송도해변로 117 (암남동),커피숍
커피라이터,"부산광역시 서구 대영로 78 (동대신동1가, 동대신동시장 1층 일부)",커피숍
미엘,부산광역시 서구 임시수도기념로 13 (부민동2가),커피숍
닥밭골북카페,"부산광역시 서구 보동길278번길 15, 2층 (동대신동2가, 닥밭골행복문화센터)",커피숍
더벤티부민점,"부산광역시 서구 구덕로 220 (부민동1가, 한웅캠퍼스 타워 102호)",커피숍
리스펙트커피(Respect Coffee),"부산광역시 서구 대신공원로 2, 2층 (동대신동3가)",커피숍
컴포즈 동아대병원점,"부산광역시 서구 동대로 28-6, 1층 103호 (동대신동3가, 리버스14차)",커피숍
빈스톡,"부산광역시 서구 암남공원로 56, 1,2층 (암남동)",커피숍
파스쿠치 부산대병원점,"부산광역시 서구 까치고개로197번길 3 (아미동2가, 나동 1층일부 2층전체)",커피숍
컴포즈 커피(송도점),"부산광역시 서구 송도해변로 149, 1층 (암남동)",커피숍
할리스커피부산송도점,"부산광역시 서구 송도해변로 61-1, 1층 (암남동)",커피숍
커피생활,"부산광역시 서구 대영로73번길 91, 1층 (동대신동3가)",커피숍
나그미커피,"부산광역시 서구 꽃마을로 41-1, 1층 (서대신동3가)",커피숍
이디아커피 서대신역점,부산광역시 서구 대티로 175-1 (서대신동3가),커피숍
카와,부산광역시 서구 대영로27번길 61 (서대신동3가),커피숍
싱싱커피,부산광역시 서구 해안새벽시장길 5 (충무동1가),커피숍
(주)이디야 부산송도해상케이블카점,"부산광역시 서구 송도해변로 171, 3층 (암남동)",커피숍
카페젤라또,"부산광역시 서구 암남공원로 181, 104호 (암남동)",커피숍
메쉬커피,부산광역시 서구 구덕로199번길 20 (부민동2가),커피숍
카페 음미,"부산광역시 서구 구덕로 150, 2층 (토성동3가)",커피숍
보라빛샌드위치,부산광역시 서구 구덕로305번길 56-3 (서대신동2가),커피숍
제일다방,부산광역시 서구 천마로 230-2 (충무동2가),다방
원일커피숍,부산광역시 서구 대청로 4 (부민동1가),다방
대가커피숍,부산광역시 서구 충무대로276번길 12 (충무동1가),다방
송도비치마르소,부산광역시 서구 송도해변로 65 (암남동),다방
송도비치관광호텔스카이라운지,부산광역시 서구 송도해변로 65 (암남동),다방
해거름커피숍,부산광역시 서구 충무대로276번길 14 (충무동1가),다방
제일통상 (라비타커피),"부산광역시 서구 흑교로109번길 45, 1층 (부용동1가)",다방
커피향,"부산광역시 서구 충무대로275번길 3 (충무동1가, 지하)",다방
제일통상 (라비타 커피),"부산광역시 서구 흑교로109번길 45, 2층 (부용동1가)",다방
